timestamp,game_running,gpu_utilization,gpu_memory_used,gpu_memory_total,gpu_temperature,gpu_power_draw,fan_speed,total_cpu_usage,total_memory_usage,fps_estimate
2024-11-27T15:16:24.336650,True,23.0,1885.0,8188.0,39.0,10.97,50.0,0.4,6.9,38.0
2024-11-27T15:16:26.004054,True,3.0,1907.0,8188.0,40.0,26.78,50.0,0.3,6.9,40.0
2024-11-27T15:16:27.641512,True,3.0,1906.0,8188.0,39.0,26.75,50.0,0.1,6.9,1
2024-11-27T15:16:29.314774,True,7.0,1899.0,8188.0,39.0,11.73,50.0,0.3,6.9,8.0
2024-11-27T15:16:30.989723,True,12.0,1888.0,8188.0,38.0,11.38,50.0,0.3,6.9,10.0
2024-11-27T15:16:32.644076,True,9.0,1888.0,8188.0,39.0,18.98,50.0,0.2,6.9,6.0
2024-11-27T15:16:34.315614,True,35.0,1888.0,8188.0,39.0,26.92,50.0,0.4,6.9,52.0
2024-11-27T15:16:35.975824,True,5.0,1888.0,8188.0,38.0,19.94,50.0,0.2,6.9,60.0
2024-11-27T15:16:37.622421,True,3.0,1888.0,8188.0,39.0,19.94,50.0,0.6,6.9,4.0
2024-11-27T15:16:39.267283,True,7.0,1888.0,8188.0,38.0,13.44,50.0,0.2,6.9,8.0
2024-11-27T15:16:40.911814,True,11.0,1888.0,8188.0,38.0,11.66,50.0,0.3,6.9,8.0
2024-11-27T15:16:42.565467,True,13.0,1894.0,8188.0,38.0,10.14,50.0,0.5,6.9,4.0
2024-11-27T15:16:44.227969,True,12.0,1939.0,8188.0,39.0,16.1,50.0,0.4,6.9,2.0
2024-11-27T15:16:45.873813,True,9.0,1939.0,8188.0,39.0,26.17,50.0,0.3,6.9,6.0
2024-11-27T15:16:47.526567,True,3.0,1941.0,8188.0,39.0,26.26,50.0,0.2,6.9,12.0
